10:38:56 [DEBUG] (1) sled::pagecache::iterator: ordering before clearing tears: {0: 0}, max_header_stable_lsn: 0
10:38:56 [DEBUG] (7) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (3) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (8) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (4) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (2) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (5) sled::pagecache::logger: segment with lsn 9223372036854775807 had computed crc 3971697493, but stored crc 4294967295
10:38:56 [DEBUG] (1) sled::pagecache::iterator: ordering before clearing tears: {972554240: 15728640}, max_header_stable_lsn: 972554240
10:38:56 [DEBUG] (1) sled::pagecache::iterator: in clean_tail_tears, found missing item in tail: None and we'll scan segments {972554240: 15728640} above lowest lsn 972554240
10:38:56 [DEBUG] (1) sled::pagecache::iterator: filtering out segments after detected tear at (lsn, lid) 973078370
10:38:56 [DEBUG] (1) sled::pagecache::iterator: hit max_lsn 973078370 in iterator, stopping
10:38:56 [DEBUG] (1) sled::pagecache::snapshot: zeroing the end of the recovered segment at lsn 972554240 between lids 16252771 and 16252927
10:38:56 [DEBUG] (1) sled::pagecache::blob_io: gc_blobs removing any blob with an lsn above 973078371
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 3145728
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 3670016
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 4194304
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 16252928
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 16777216
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 17301504
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 17825792
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 18350080
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 18874368
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 19398656
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 19922944
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 20447232
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 20971520
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 21495808
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 22020096
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 22544384
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 23068672
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 23592960
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 24117248
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 24641536
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 25165824
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 25690112
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 26214400
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 26738688
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 27262976
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 27787264
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 28311552
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 28835840
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 29360128
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 29884416
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 30408704
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 30932992
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 31457280
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 31981568
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 32505856
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 33030144
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 33554432
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 34078720
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 34603008
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 35127296
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 35651584
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 36175872
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 36700160
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 37224448
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 37748736
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 38273024
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 38797312
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 39321600
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 39845888
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 40370176
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 40894464
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 41418752
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 41943040
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 42467328
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 42991616
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 43515904
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 44040192
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 44564480
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 45088768
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 45613056
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 46137344
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 46661632
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 47185920
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 47710208
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 48234496
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 48758784
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 49283072
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 49807360
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 50331648
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 50855936
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 51380224
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 51904512
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 52428800
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 52953088
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 53477376
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 54001664
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 54525952
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 55050240
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 55574528
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 56098816
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 56623104
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 57147392
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 57671680
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 58195968
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 58720256
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 59244544
